date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:13	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%221d3c76b8d4d40dc%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.ttf	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
17:24:15	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%221d3c76b8d4c5942%22	http://localhost:60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/bootstrap/dist/fonts/glyphicons-halflings-regular.svg	(from http://localhost:60754/css/bootstrap/dist/css/bootstrap.css)
17:24:28	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d3c76b8d4cdb66%22	http://localhost:60754/css/font-awesome/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/fonts/fontawesome-webfont5b62.eot	(from http://localhost:60754/css/font-awesome/css/font-awesome.css)
17:24:31	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d3c76b8d4cdb66%22	http://localhost:60754/css/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://localhost:60754/css/font-awesome/css/font-awesome.css)
17:24:34	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%221d3c76b8d4ce958%22	http://localhost:60754/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/fonts/fontawesome-webfont5b62.woff2	(from http://localhost:60754/css/font-awesome/css/font-awesome.css)
17:24:48	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:%221d3c76b8d480846%22	http://localhost:60754/css/font-awesome/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/fonts/fontawesome-webfont5b62.svg	(from http://localhost:60754/css/font-awesome/css/font-awesome.css)
17:24:49	2419/2419	---M--	200	added ('OK')	image/png	etag:%221f0a1-973-4b95f8a2bca80%22	http://cssdeck.com/uploads/media/items/8/8bcLQqF.png	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/cssdeck.com/uploads/media/items/8/8bcLQqF.png	(from http://localhost:60754/css/custom.min.css)
17:24:53	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:%221d3c76b8d4c90ac%22	http://localhost:60754/css/font-awesome/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/css/font-awesome/fonts/fontawesome-webfont5b62.woff	(from http://localhost:60754/css/font-awesome/css/font-awesome.css)
17:24:56	23710/23710	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:24:52%20GMT	http://localhost:60754/Clients/Create	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Clients/Create.html	(from http://localhost:60754/Clients)
17:25:01	20769/20769	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:24:56%20GMT	http://localhost:60754/Clients/Details?id=2	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Clients/Details0b30.html	(from http://localhost:60754/Clients)
17:25:03	23760/23760	---MC-	200	added ('OK')	text/html	date:Tue,%2010%20Jul%202018%2010:24:59%20GMT	http://localhost:60754/Clients/Edit?id=2	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/Clients/Edit0b30.html	(from http://localhost:60754/Clients)
17:25:06	343326/343326	---M--	200	added ('OK')	image/jpeg	etag:%221d3fa44c0078a9e%22	http://localhost:60754/images/background.jpg	C:/Users/ahmad.zakki/Documents/GitHub/pdc/PDC/localhost_60754/images/background.jpg	(from http://localhost:60754/css/site.css)
